"Empresa";"Credor";"Centro de Custo";"Plano Financeiro";"Documento";"Lançamento";"Parcela";"Id";"Dt. emissão";"Valor original";"Dt. vencimento";"Saldo atual";"Dias";"Dt. baixa";"Valor baixa";"Acréscimo";"Desconto";"Pagto líquido";"";"";"";"";"";"";
"2 - EINDOM HOUSE ADMINISTRADORA DE IMÓVEIS LTDA";"4 - MINISTERIO DA ECONOMIA - 1708 IRRF";"204 - Eindom House  - Operações";"2.04.03.02 - IRRF Terceiros PJ (1708)";"DARF.IRRF 1708 - 0823";"5039";"1/1";"00";"31/08/2023";"1.365,00";"20/09/2023";"0,00";"0";"20/09/2023";"1.365,00";"0,00";"0,00";"1.365,00";"";"";"";"";"";"";
"2 - EINDOM HOUSE ADMINISTRADORA DE IMÓVEIS LTDA";"4 - MINISTERIO DA ECONOMIA - 1708 IRRF";"202 - Eindom House - Comercial";"2.04.03.02 - IRRF Terceiros PJ (1708)";"DARF.IRRF 1708 - 08/2023";"5317";"1/1";"00";"31/08/2023";"105,00";"20/09/2023";"105,00";"7";"";"0,00";"0,00";"0,00";"0,00";"";"";"";"";"";"";
"2 - EINDOM HOUSE ADMINISTRADORA DE IMÓVEIS LTDA";"5 - MINISTERIO DA ECONOMIA - 5952 - CSRF";"203 - Eindom House  - Marketing";"2.04.03.03 - PIS/COFINS/CSLL ( 5952)";"DARF.CSRF 01.2023";"1754";"1/1";"00";"31/01/2023";"387,50";"17/02/2023";"0,00";"0";"17/02/2023";"387,50";"0,00";"0,00";"387,50";"";"";"";"";"";"";
"2 - EINDOM HOUSE ADMINISTRADORA DE IMÓVEIS LTDA";"5 - MINISTERIO DA ECONOMIA - 5952 - CSRF";"203 - Eindom House  - Marketing";"2.04.03.03 - PIS/COFINS/CSLL ( 5952)";"DARF.CSRF 022023";"1995";"1/1";"00";"07/03/2023";"387,50";"20/03/2023";"0,00";"0";"20/03/2023";"387,50";"0,00";"0,00";"387,50";"";"";"";"";"";"";
"2 - EINDOM HOUSE ADMINISTRADORA DE IMÓVEIS LTDA";"5 - MINISTERIO DA ECONOMIA - 5952 - CSRF";"201 - Eindom House - Adm/Financeiro";"2.04.03.03 - PIS/COFINS/CSLL ( 5952)";"DARF.CSRF 032023";"2481";"1/1";"00";"31/03/2023";"1.278,75";"20/04/2023";"0,00";"0";"19/04/2023";"1.278,75";"0,00";"0,00";"1.278,75";"";"";"";"";"";"";
"2 - EINDOM HOUSE ADMINISTRADORA DE IMÓVEIS LTDA";"5 - MINISTERIO DA ECONOMIA - 5952 - CSRF";"201 - Eindom House - Adm/Financeiro";"2.04.03.03 - PIS/COFINS/CSLL ( 5952)";"DARF.CSRF 04.2023";"2926";"1/1";"00";"30/04/2023";"1.278,75";"19/05/2023";"0,00";"0";"15/05/2023";"1.278,75";"0,00";"0,00";"1.278,75";"";"";"";"";"";"";
"2 - EINDOM HOUSE ADMINISTRADORA DE IMÓVEIS LTDA";"5 - MINISTERIO DA ECONOMIA - 5952 - CSRF";"202 - Eindom House - Comercial";"2.04.03.03 - PIS/COFINS/CSLL ( 5952)";"DARF.CSRF 05.2023";"3348";"1/1";"00";"31/05/2023";"976,50";"20/06/2023";"0,00";"0";"20/06/2023";"976,50";"0,00";"0,00";"976,50";"";"";"";"";"";"";
"2 - EINDOM HOUSE ADMINISTRADORA DE IMÓVEIS LTDA";"5 - MINISTERIO DA ECONOMIA - 5952 - CSRF";"201 - Eindom House - Adm/Financeiro";"2.04.03.03 - PIS/COFINS/CSLL ( 5952)";"DARF.CSRF 05.2023";"3348";"1/1";"00";"31/05/2023";"1.278,75";"20/06/2023";"0,00";"0";"20/06/2023";"1.278,75";"0,00";"0,00";"1.278,75";"";"";"";"";"";"";
"2 - EINDOM HOUSE ADMINISTRADORA DE IMÓVEIS LTDA";"5 - MINISTERIO DA ECONOMIA - 5952 - CSRF";"201 - Eindom House - Adm/Financeiro";"2.04.03.03 - PIS/COFINS/CSLL ( 5952)";"DARF.CSRF 06.2023";"3684";"1/1";"00";"30/06/2023";"1.278,75";"20/07/2023";"0,00";"0";"20/07/2023";"1.278,75";"0,00";"0,00";"1.278,75";"";"";"";"";"";"";
"2 - EINDOM HOUSE ADMINISTRADORA DE IMÓVEIS LTDA";"5 - MINISTERIO DA ECONOMIA - 5952 - CSRF";"202 - Eindom House - Comercial";"2.04.03.03 - PIS/COFINS/CSLL ( 5952)";"DARF.CSRF 06.2023";"3684";"1/1";"00";"30/06/2023";"976,50";"20/07/2023";"0,00";"0";"20/07/2023";"976,50";"0,00";"0,00";"976,50";"";"";"";"";"";"";
